@relation numerical
@attribute t0 real
@attribute t1 real
@attribute t2 real
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0.31266,-0.60403,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.72363,-0.19045,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.60684,0.20255,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.26255,0.54386,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.64199,-0.17383,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.8058,0.42012,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.67589,0.57974,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.8078,-0.36548,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.062698,0.29931,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.20969,0.11188,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.47853,0.48321,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.40772,0.11657,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.36403,0.84632,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.38494,0.7509,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.1332,-0.85235,1,{0 -1 1 -1 2 -1 3 -1 4 -1 5 1 6 -1 7 -1 8 -1 9 -1}
0.046496,0.43512,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.33482,-0.0031304,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.43265,-0.72313,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.42119,-0.61202,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.63362,-0.037915,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.65788,0.17255,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.35563,0.69767,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.45998,0.60976,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.50249,-0.17109,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.15231,-0.745,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.18408,0.68128,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.55384,-0.29946,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.10575,0.92153,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.69282,0.28113,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.39896,0.3773,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.6276,0.028961,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.20699,0.093736,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.76347,-0.54218,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.45051,-0.12972,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.0026488,0.18185,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.28798,-0.36474,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.15229,-0.34209,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.21279,-0.96062,1,{0 -1 1 -1 2 -1 3 -1 4 -1 5 1 6 -1 7 -1 8 -1 9 -1}
0.32035,0.48049,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.23603,0.53958,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.14246,0.53784,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.40344,0.44064,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.13993,0.95802,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.18175,0.79765,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.14865,0.17343,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.61239,-0.6063,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.42848,0.42744,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.23112,-0.38947,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.1382,0.31368,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.18563,-0.78701,1,{0 -1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 -1 9 -1}
-0.86167,0.30183,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.39486,0.65463,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.092915,0.369,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.73276,-0.23387,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.95104,-0.21376,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.71161,0.17942,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.28004,0.85813,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.65674,-0.63676,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 1 9 1}
-0.96296,0.013063,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.3093,0.78022,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.40883,0.32571,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.67061,0.55608,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.24296,-0.38494,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.22793,-0.45253,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.17982,0.27673,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.37611,0.34602,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.20356,0.60363,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.58031,-0.62937,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 1 9 1}
-0.62761,-0.16975,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.88874,0.03997,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.4791,-0.096386,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.49129,0.59791,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.13117,0.60987,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.37641,-0.86681,1,{0 -1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 -1 9 -1}
0.39269,-0.52806,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.2445,-0.69381,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.95064,0.05663,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.8655,0.34338,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.073158,-0.51942,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.79334,0.52628,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.56621,0.12413,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.32616,-0.087555,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.9587,-0.14238,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.51676,0.11039,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.35997,-0.16613,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.23307,-0.19906,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.17663,0.39069,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.25796,-0.66692,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.45292,0.54215,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.59609,-0.43709,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.37498,0.63615,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.56898,0.22869,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.57338,0.34525,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.036401,0.65696,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.15063,-0.51169,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.25166,-0.32181,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.072849,-0.62254,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.44474,0.60595,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.17357,0.53493,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.72771,0.033666,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.034758,-0.71188,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.43372,-0.76707,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.13084,0.39244,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.7103,0.13169,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.023887,-0.15953,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.49733,0.69938,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.83316,-0.37961,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.16895,-0.16809,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.79941,-0.41164,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.33983,0.69016,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.57031,-0.69032,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.17282,-0.48947,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.028745,-0.5871,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.32368,0.85404,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.5366,-0.56544,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.2609,-0.66652,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.41396,-0.036893,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.97353,-0.14681,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.70372,-0.22333,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.043259,-0.012843,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.0052173,0.65148,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.27895,0.63684,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.26283,-0.8391,1,{0 -1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 -1 9 -1}
0.64424,0.66917,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.022638,0.52385,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.55137,0.78153,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.81311,-0.45905,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.8378,0.40681,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.53553,-0.69115,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 1 9 1}
-0.70611,-0.4533,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.11474,0.40127,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.45409,0.13334,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.45934,-0.046397,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.73703,0.24376,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.88925,0.057483,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.3968,-0.061231,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.47576,0.5189,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.087719,-0.6436,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.43296,-0.3585,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.6377,0.68894,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.57709,0.54321,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.8863,0.087843,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.25237,-0.2628,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.1752,-0.56144,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.45436,0.57808,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.25829,-0.71152,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 -1 9 -1}
-0.60589,0.68003,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.080288,0.32316,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.59959,0.62196,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.84609,0.25551,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.03767,0.80996,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.38638,0.49744,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.92928,0.0939,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.1392,-0.41277,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.020034,0.93641,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.74228,0.0050188,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.62574,0.74857,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.80797,0.40946,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.082792,0.64853,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.20195,-0.024471,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.34456,0.6362,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.51356,-0.31879,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.51996,0.56812,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.67892,0.48788,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.083722,0.11133,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.18197,-0.79743,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.71545,-0.032999,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.085553,-0.37261,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.90375,0.024817,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.1515,-0.3966,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.64153,0.72365,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.63105,-0.36907,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.68117,0.19916,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.2578,-0.13964,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.28659,-0.018902,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.62954,-0.57464,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 1 9 1}
-0.19748,-0.046772,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.73898,-0.11075,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.22893,0.23119,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.49612,-0.038517,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.55768,-0.09082,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.49362,-0.58079,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.73789,-0.30508,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.97593,-0.091669,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.23696,0.91013,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
0.94851,0.037851,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.18189,0.21634,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.67409,-0.30183,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.27752,-0.61161,1,{0 1 1 1 2 1 3 1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.019389,-0.17373,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
0.56647,-0.70832,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.51716,-0.55,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.32501,0.67465,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.50787,-0.34612,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.33172,-0.79033,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
0.034617,-0.83294,1,{0 -1 1 -1 2 -1 3 -1 4 -1 5 -1 6 -1 7 -1 8 -1 9 -1}
-0.15182,0.87425,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.10938,-0.76396,1,{0 1 1 1 2 -1 3 -1 4 -1 5 1 6 1 7 1 8 -1 9 -1}
-0.4259,-0.71818,1,{0 1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 1 9 1}
-0.17029,-0.49142,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 -1}
-0.27891,0.3319,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
0.65731,0.63345,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 -1 9 1}
-0.53475,0.41777,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.30296,-0.7745,1,{0 -1 1 1 2 -1 3 1 4 1 5 1 6 -1 7 1 8 -1 9 -1}
-0.40689,0.43776,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.78819,0.024698,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.53316,0.098837,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.45513,0.40251,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.24189,-0.86333,1,{0 -1 1 1 2 -1 3 1 4 -1 5 -1 6 -1 7 1 8 -1 9 -1}
-0.25141,0.0016564,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
-0.52452,-0.4625,1,{0 1 1 1 2 1 3 1 4 1 5 1 6 1 7 1 8 1 9 1}
